Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/7/20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
3/14/20,0,0,0,0,2,2,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,1,23,0,0,0
3/21/20,0,0,1,0,22,4,4,0,0,11,19,0,0,6,13,0,1,3,19,0,2,1,5,1,1,3,0,0,2,0,21,0,190,0,0,7,1,4,2,1,3,0,1,8,0,2,2,55,0,4,0
3/28/20,4,2,14,5,85,38,29,0,4,41,49,0,4,41,45,3,3,6,117,1,3,43,124,4,12,10,1,2,8,2,170,1,1297,5,1,42,14,9,32,3,12,0,6,37,1,10,10,94,0,18,0
4/4/20,40,3,37,9,179,82,132,17,17,141,132,3,6,197,155,11,13,31,272,9,49,172,455,19,22,38,5,4,36,5,867,10,4194,29,2,116,27,9,102,24,25,1,43,108,7,8,39,210,2,80,0
4/11/20,48,3,65,11,315,148,329,27,26,243,228,5,15,433,206,20,34,50,397,9,152,470,902,40,58,94,0,11,56,15,1795,8,7086,55,4,164,52,26,367,54,40,4,56,173,10,5,78,149,3,75,0
4/18/20,61,1,63,13,536,137,592,43,44,310,244,1,18,582,246,40,34,54,461,13,215,718,973,57,59,91,4,7,49,16,2315,34,5403,98,2,252,42,24,539,93,39,1,36,228,7,13,128,119,11,72,2
4/25/20,56,0,93,10,549,273,779,70,74,307,234,4,13,616,293,38,34,61,440,15,454,1326,879,123,69,121,4,26,54,15,2105,40,4330,118,7,270,58,15,751,101,47,3,35,206,16,8,179,113,16,50,5
5/2/20,79,0,57,24,491,148,571,79,75,309,270,3,8,684,284,63,22,43,286,9,376,1116,885,150,70,116,2,23,50,31,2028,45,2696,126,8,311,44,22,902,126,101,11,32,227,8,5,180,83,16,75,0
5/9/20,102,1,202,16,507,135,496,69,71,351,226,1,3,790,253,77,32,56,274,8,363,994,533,164,130,125,0,17,58,47,1503,53,2253,120,11,271,32,18,1084,134,63,13,33,196,17,2,210,90,4,60,0
5/16/20,95,0,147,10,521,225,407,83,64,249,195,0,6,780,250,94,21,30,212,6,343,865,357,151,89,98,0,33,34,40,1208,68,1391,125,7,240,18,10,701,108,50,10,53,277,12,0,176,72,12,54,0
5/23/20,64,0,122,17,529,135,336,53,52,269,224,0,6,661,215,100,10,57,189,7,286,599,346,152,106,74,0,24,40,37,856,49,1187,102,10,245,23,10,632,105,45,6,34,169,19,1,156,51,8,68,5
5/30/20,69,0,103,18,407,116,237,53,35,214,182,0,3,540,136,85,10,40,118,12,266,464,244,175,107,50,1,23,30,30,581,43,617,151,8,166,23,6,425,75,62,12,35,219,15,1,211,42,3,89,4
6/6/20,71,0,139,21,463,84,143,27,21,241,174,0,1,534,137,68,18,39,139,9,231,521,212,145,88,36,1,17,20,45,495,41,492,99,12,169,13,8,394,58,58,3,53,183,9,0,91,42,9,45,1
6/13/20,84,2,146,23,469,70,131,19,28,237,269,0,4,425,118,51,12,29,79,2,186,287,97,133,78,39,0,28,25,35,531,39,427,99,2,112,12,12,280,24,54,10,55,180,18,0,80,48,4,44,1
6/20/20,65,0,157,47,418,50,65,12,20,219,195,0,2,336,114,31,11,25,100,2,126,252,74,90,49,88,2,29,24,21,309,35,249,88,2,90,9,16,208,36,45,6,52,241,16,1,66,36,0,38,2
