date,count,total_count,ratio
"2020-01-01","3200","50925","0.06283750613647521"
"2020-01-02","4682","77471","0.06043551780666314"
"2020-01-03","4613","79879","0.05774984664304761"
"2020-01-04","4137","53467","0.07737482933398171"
"2020-01-05","3603","57021","0.06318724680380912"
"2020-01-06","4897","77535","0.0631585735474302"
"2020-01-07","4989","84686","0.05891174456226531"
"2020-01-08","4766","82643","0.05766973609380105"
"2020-01-09","4879","86786","0.056218744958864336"
"2020-01-10","4631","78957","0.05865217776764568"
"2020-01-11","3949","51053","0.07735098818874503"
"2020-01-12","3393","52311","0.06486207489820496"
"2020-01-13","4659","80195","0.058095891265041465"
"2020-01-14","4959","84812","0.05847049945762392"
"2020-01-15","9066","95767","0.09466726534192363"
"2020-01-16","5751","84954","0.06769545871883607"
"2020-01-17","5669","79628","0.07119355000753504"
"2020-01-18","6091","51196","0.11897413860457848"
"2020-01-19","9756","51850","0.18815814850530377"
"2020-01-20","7740","73933","0.10468938092597352"
"2020-01-21","9215","92256","0.09988510232396809"
"2020-01-22","9892","96481","0.10252795887273142"
"2020-01-23","11009","88574","0.1242915528258857"
"2020-01-24","10782","82779","0.1302504258326387"
"2020-01-25","7226","53335","0.13548326614793288"
"2020-01-26","7353","54119","0.13586725549252573"
"2020-01-27","11713","82486","0.14199985452076716"
"2020-01-28","12758","89180","0.14305898183449203"
"2020-01-29","13182","87052","0.15142673344667554"
"2020-01-30","13719","79224","0.17316722205392304"
"2020-01-31","12926","68643","0.18830762058767828"
"2020-02-01","8904","48221","0.18464984135542606"
"2020-02-02","7835","47746","0.1640975160222846"
"2020-02-03","10782","63182","0.17064986863347156"
"2020-02-04","11024","65869","0.1673624922194052"
"2020-02-05","10656","68771","0.154949033749691"
"2020-02-06","10963","68358","0.16037625442523187"
"2020-02-07","11560","76247","0.15161252245990006"
"2020-02-08","8057","54706","0.1472781778963916"
"2020-02-09","7407","59192","0.125135153399108"
"2020-02-10","12186","91276","0.13350716508173013"
"2020-02-11","13097","94612","0.13842852915063628"
"2020-02-12","12873","94633","0.13603077150676826"
"2020-02-13","13571","90686","0.14964823677304104"
"2020-02-14","11750","82351","0.14268193464560236"
"2020-02-15","13751","66445","0.20695311912107758"
"2020-02-16","7047","53598","0.13147878652188513"
"2020-02-17","11345","77927","0.1455849705493603"
"2020-02-18","15507","95357","0.16262046834527094"
"2020-02-19","23614","104082","0.22687880709440633"
"2020-02-20","14328","103558","0.13835724907781147"
"2020-02-21","13137","91593","0.14342799122203662"
"2020-02-22","9665","61547","0.15703446146847125"
"2020-02-23","9796","60876","0.16091727445955714"
"2020-02-24","16877","91483","0.1844823628433698"
"2020-02-25","19808","98133","0.20184851171369467"
"2020-02-26","23425","102330","0.22891625134369198"
"2020-02-27","24729","103868","0.23808102591751068"
"2020-02-28","25428","97580","0.2605861856937897"
"2020-02-29","15964","63316","0.2521321624865753"
"2020-03-01","15487","62964","0.24596594879613748"
